combined_text,clean_text,rating_num,sentiment,review_title,review_text,product,review_country,reviewed_at
"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ? NOTE:",which iphone you should purchase iphone x xs xr note,3.0,neutral,"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?",NOTE:,Apple iPhone XR (64GB) - Black, India ,2018-12-12
Don't buy iPhone xr from Amazon. Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,don t buy iphone xr from amazon very bad experience with this iphone xr phone back camera found defective and non functional amazon is very careless i haven t got any response on confirmation for replacing i am just hanging with a damaged piece worth of more than rupees,1.0,negative,Don't buy iPhone xr from Amazon.,Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,Apple iPhone XR (64GB) - Black, India ,2018-11-17
Happy with the purchase Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,happy with the purchase amazing phone with amazing camera coming from iphone plus great service from amazon,5.0,positive,Happy with the purchase,Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,Apple iPhone XR (64GB) - Black, India ,2019-01-27
"Amazon is not an apple authorised reseller. Please take a note. So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",amazon is not an apple authorised reseller please take a note so i got the iphone xr just today the product looks amazing but unfortunately the face id is not working and there s a glitch in the front camera s portrait mode that s fine it may happen but what s not fine is the pathetic service provided by amazon and apple firstly amazon takes no responsibility of the product once sold talking about the giant apple the so called market leaders went to the service centre after running a diagnostic the solution they came up with is sending the phone to bangalore for repair like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product and also to mention amazon in is not an authorised apple reseller i guess this issue will be escalated to the consumer court thank you amazon and apple,1.0,negative,Amazon is not an apple authorised reseller. Please take a note.,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",Apple iPhone XR (64GB) - Black, India ,2019-05-02
"Excellent Battery life and buttery smooth UI I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",excellent battery life and buttery smooth ui i ve been an android user all my life until i decided to try iphone xr for ios loving the camera and battery life is an absolute joy to have it s been more than one month since i got this phone and i m loving it face id works flawlessly even in the dark and the dual sim function is working like a charm i m using vodafone as my primary sim and jio as e sim and have faced no problem whatsoever,5.0,positive,Excellent Battery life and buttery smooth UI,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",Apple iPhone XR (64GB) - Black, India ,2019-05-24
Never purchase a phone online. I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,never purchase a phone online i was delivered a phone that did not work immediately after removing from the box i was not able to return it as i need to first check with apple apple service told me that the phone was lying without charge since months and hence the battery failed now i have had to leave the phone with apple for repairs and waiting for them to replace the battery please answer this why should i run around for the sub par quality device when i was shipped a dead phone last time i ever purchase a phone online,1.0,negative,Never purchase a phone online.,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,Apple iPhone XR (64GB) - Black, India ,2019-04-22
"Awesome iPhone It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",awesome iphone it has been a month since i started using my iphone xr and the experience has been awesome excellent battery life smooth operating system and most of all dual sim functionality are the best features of this iphone spent so many days to decide on the colour but opted for white and i m very happy about it coral is also a very good colour option which i have bought for my wife only issue bothering me is the time taken to charge the phone you need to opt for overnight charging other than that extremely happy with the purchase,5.0,positive,Awesome iPhone,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",Apple iPhone XR (64GB) - Black, India ,2018-12-07
Exchange of I phone xr with xs. The phone is hanging. Video quality is not very good.,exchange of i phone xr with xs the phone is hanging video quality is not very good,1.0,negative,Exchange of I phone xr with xs.,The phone is hanging. Video quality is not very good.,Apple iPhone XR (64GB) - Black, India ,2018-11-25
Worth upgrading from the 6S? I'll know in a few months I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,worth upgrading from the s i ll know in a few months i ll use this review to mostly say what i m not a fan of in this particular iphone model,4.0,positive,Worth upgrading from the 6S? I'll know in a few months,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,Apple iPhone XR (64GB) - Black, India ,2019-04-27
Def a bad experience Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,def a bad experience went with the iphone xr after over a month of consideration amazon was offering some really good discounts and felt the time was right to upgrade having used the iphone for four seamless years,1.0,negative,Def a bad experience,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,Apple iPhone XR (64GB) - Black, India ,2019-04-21
