term,weight
worst,2.047019864690399
bad,1.8502235482255065
defective,1.55100557867417
working,1.5106854582744427
problem,1.4266871118711457
poor,1.3368474101172263
box,1.2789380732787219
return,1.2736081007692945
faulty,1.265169996998555
waste,1.2021317175505926
damage,1.1102273488255376
fake,1.0796269180784042
amazon,1.0655175126301035
old,1.046138426374485
duplicate,1.0314368800976057
don buy,1.0310807507949307
disappointed,1.0283651468801878
pathetic,0.998915674618189
refund,0.9391577134068892
service,0.9382171390336604
