term,weight
screen,1.3993739633109203
mark,1.1448857577670983
ok,0.9963651635242964
touch,0.9573778433690783
slow,0.9203527588137261
bulky,0.9026869989946604
issue,0.8918415120544437
battery,0.8097729555406856
missing,0.8075904058561975
xr review,0.7737718930932018
weight,0.7476795064289108
heavy,0.6988455843138184
special,0.6906072347923171
times,0.6880159473231098
connector,0.6635281590351727
good best,0.6604786114136808
android,0.6537540841320159
great experience,0.644911147833856
think,0.6401919631640949
touch screen,0.6275195157701452
