term,weight
awesome,2.542117963826946
great,2.4640568437862713
excellent,2.300372843709346
amazing,2.2688682133685854
best,2.141088073234597
good,2.071293916620417
nice,1.8956233261000899
superb,1.5451200387476731
super,1.4490879135897539
perfect,1.4089909637250713
love,1.3205189782463431
iphone,1.2145223922721975
good product,1.1394911941045485
loved,1.0717637589319169
deal,1.019622533209906
best phone,0.9814292494749477
fantastic,0.9284525434465674
nice phone,0.9130320542753123
overall,0.9064585052006464
phone good,0.8751408982145424
